id,lon,lat,pe,area
1,120.17208,35.75928,486.0,7.28
2,120.71256,37.97892,185.0,7.98
3,120.741,37.9264,145.0,12.8
4,120.6109,37.9674,177.0,8.54
5,120.68444,37.93942,88.0,1.43
6,120.6415,38.0587,88.0,0.28
7,120.6369,38.1372,157.0,0.44
8,120.94214,38.02745,186.0,1.46
9,120.87065,38.02045,84.0,0.27
10,120.85556,38.06833,16.0,0.05
11,120.7445,38.1712,188.0,7.08
12,120.8052,38.2907,178.0,6.44
13,120.8426,38.3456,130.0,1.14
14,120.8991,38.3617,89.0,1.83
15,120.9116,38.3919,147.0,2.72
16,120.81487,40.50048,184.0,13.5
17,121.03028,38.8681,95.0,0.3
18,120.98382,38.95203,190.0,1.2
19,121.15757,39.08754,58.0,0.96
20,121.18403,39.09123,27.0,0.048
21,121.22767,39.10505,55.0,0.31
22,121.470646,39.18779,52.0,2.0
23,121.49267,39.20035,72.0,1.5
24,121.83291,38.87342,144.0,2.6
25,121.83283,38.91364,118.0,0.335
26,123.16255,39.04079,374.0,18.98
27,122.73512,39.02829,148.0,15.82
28,122.82574,39.04553,150.0,2.0
29,122.86719,39.05953,113.0,2.12
30,122.80643,39.07672,86.0,2.2
31,122.56535,39.27481,114.0,12.8
32,122.35238,39.17446,238.0,31.5
33,122.99424,39.53037,208.0,26.8
34,123.73214,39.75568,173.0,6.6
35,123.81348,39.79139,64.0,0.8
36,124.65698,39.55194,324.0,19.2
37,124.87951,39.55694,478.0,52.0
38,124.60295,39.44273,247.0,5.0
39,124.72279,39.41515,171.0,1.35
40,124.69587,39.51855,300.0,7.2
41,124.77825,39.45774,189.0,2.1
42,124.8353,38.52641,329.0,32.5
43,124.6787,37.9477,173.0,46.37
44,124.69896,37.82332,325.0,15.56
45,126.12444,37.23275,316.0,36.0
46,125.6974,37.66817,120.0,6.19
47,125.20206,34.6958,339.0,6.47
48,125.41904,34.67328,391.0,23.8
49,125.11135,34.07492,559.0,13.77
50,125.29001,34.43755,139.0,1.32
51,125.46908,34.20894,162.0,1.27
52,125.84288,34.61197,332.0,10.88
53,126.02867,35.34557,164.0,5.1
54,126.1454,35.28376,152.0,3.7
55,126.116,35.6427,190.0,1.2
56,126.10634,35.66161,157.0,0.69
57,126.28991,35.5953,245.0,13.3
58,125.96393,36.23332,96.0,0.85
59,125.9735,36.1207,171.0,3.3
60,126.08991,36.2299,223.0,2.1
61,126.26049,36.29543,78.0,1.35
62,126.35559,36.33917,106.0,5.1
63,125.97504,37.18518,106.0,2.45
64,126.09941,37.17343,260.0,4.0
65,125.94994,37.08521,127.0,2.5
66,126.07555,37.09547,329.0,4.48
67,125.9993,37.0204,194.0,2.8
68,126.3155,37.2566,164.0,9.0
69,126.0624,36.6755,175.0,2.78
70,126.24118,36.60186,81.0,1.32
