id,pe,altitude,category
1,486.0,514.0,1.0
2,185.0,195.7,1.0
3,145.0,156.1,1.0
4,177.0,189.0,1.0
5,88.0,98.3,2.0
6,88.0,104.0,2.0
7,157.0,202.8,2.0
9,84.0,97.3,1.0
10,16.0,73.5,1.0
11,188.0,198.9,1.0
12,178.0,202.2,1.0
13,130.0,148.9,1.0
14,89.0,71.8,1.0
15,147.0,180.0,1.0
17,95.0,118.7,2.0
18,190.0,216.9,1.0
19,58.0,72.6,2.0
20,27.0,43.4,2.0
21,55.0,30.2,2.0
22,52.0,54.6,2.0
23,72.0,85.0,2.0
24,144.0,159.3,1.0
25,118.0,131.4,1.0
26,374.0,373.0,1.0
27,148.0,71.0,2.0
28,150.0,150.0,2.0
29,113.0,130.0,2.0
30,86.0,80.0,2.0
31,114.0,125.0,2.0
32,238.0,252.0,1.0
33,208.0,224.0,2.0
34,173.0,189.1,2.0
35,64.0,71.1,2.0
36,324.0,345.0,2.0
37,478.0,480.0,2.0
38,247.0,240.0,2.0
39,171.0,170.0,2.0
40,300.0,300.0,2.0
41,189.0,190.0,2.0
63,106.0,100.0,2.0
64,260.0,250.0,2.0
65,127.0,130.0,2.0
66,329.0,320.0,2.0
67,194.0,190.0,2.0
