id,pe,category
1,486.0,1
16,184.0,2
17,95.0,2
18,190.0,2
19,58.0,2
20,27.0,2
21,55.0,2
24,144.0,1
25,118.0,1
26,374.0,1
27,148.0,1
28,150.0,1
29,113.0,1
30,86.0,2
31,114.0,1
32,238.0,1
33,208.0,2
34,173.0,2
35,64.0,2
36,324.0,2
37,478.0,2
38,247.0,2
39,171.0,2
40,300.0,2
41,189.0,2
42,329.0,1
43,173.0,1
44,325.0,1
45,316.0,1
46,120.0,1
63,106.0,1
64,260.0,1
65,127.0,1
66,329.0,1
67,194.0,1
69,175.0,1
58,96.0,2
59,171.0,1
60,223.0,1
61,78.0,2
62,106.0,1
53,164.0,2
54,152.0,2
55,190.0,2
56,157.0,2
57,245.0,2
47,339.0,1
48,391.0,1
49,559.0,2
50,139.0,2
51,162.0,2
52,332.0,1
53,164.0,2
54,152.0,2
